title_id,publication_title,print_identifier,first_editor,date_monograph_published_online,date_monograph_published_print,title_url
pub143,A Survey of Digital Humanities Centers in the United States,978-1-932326-31-4,Diane M. Zorich,2008-11,2008-11,https://clir.wordpress.clir.org/?p=458
pub142,No Brief Candle: Reconceiving Research Libraries for the 21st Century,978-1-932326-30-7,,2008-08,2008-08,https://clir.wordpress.clir.org/?p=457
pub141,"Preservation in the Age of Large-Scale Digitization, A White Paper",978-1-932326-29-1,Oya Y. Rieger,2008-02,2008-02,https://clir.wordpress.clir.org/?p=456
pub140,Census of Institutional Repositories in the United States: MIRACLE Project Research Findings,978-1-932326-28-4,Karen Markey,2007-02,2007-02,https://clir.wordpress.clir.org/?p=455
pub139,Library Workflow Redesign: Six Case Studies,978-1-932326-27-7,Marilyn Mitchell,2007-01,2007-01,https://clir.wordpress.clir.org/?p=454
pub138,E-Journal Archiving Metes and Bounds: A Survey of the Landscape,1-932326-26-X,Anne R. Kenney,2006-09,2006-09,https://clir.wordpress.clir.org/?p=453
pub137,Capturing Analog Sound for Digital Preservation: Report of a Roundtable Discussion of Best Practices for Transferring Analog Discs and Tapes,1-932326-25-1,,2006-03,2006-03,https://clir.wordpress.clir.org/?p=452
pub136,Shidhulai Swanirvar Sangstha: Bringing Information Technology to Rural Bangladesh by Boat,1-932326-24-3,Arshad Mahmud,2006-02,2006-02,https://clir.wordpress.clir.org/?p=451
pub135,Copyright Issues Relevant to Digital Preservation and Dissemination of Pre-1972 Commercial Sound Recordings by Libraries and Archives,1-932326-23-5,June M. Besek,2005-12,2005-12,https://clir.wordpress.clir.org/?p=450
pub134,Acquiring Copyright Permission to Digitize and Provide Open Access to Books,1-932326-22-7,Denise Troll Covey,2005-10,2005-10,https://clir.wordpress.clir.org/?p=449
pub133,Survey of Reissues of U.S. Recordings,1-932326-21-9,Tim Brooks,2005-08,2005-08,https://clir.wordpress.clir.org/?p=448
pub132,A Kaleidoscope of Digital American Literature,1-932326-17-0,Martha L. BroganDaphnée Rentfrow,2005-09,2005-09,https://clir.wordpress.clir.org/?p=447
pub131,"Århus Public Libraries Embracing Diversity, Empowering Citizens in Denmark",978-1-932326-20-8,Embracing Diversity,2005-07,2005-07,https://clir.wordpress.clir.org/?p=446
pub130,EVERGREEN Bringing Information Resources to Rural China,978-1-932326-19-2,Geoffrey Z. Liu,2005-07,2005-07,https://clir.wordpress.clir.org/?p=445
pub129,"Library as Place: Rethinking Roles, Rethinking Space",1-932326-13-8,,2005-02,2005-02,https://clir.wordpress.clir.org/?p=444
pub128,Survey of the State of Audio Collections in Academic Libraries,1-932326-11-1,Abby Smith,2004-08,2004-08,https://clir.wordpress.clir.org/?p=443
pub127,The Nonsubscription Side of Periodicals: Changes in Library Operations and Costs between Print and Electronic Formats,1-932326-10-3,Roger C. Schonfeld,2004-06,2004-06,https://clir.wordpress.clir.org/?p=442
pub126, Access in the Future Tense,1-932326-09-X,,2004-04,2004-04,https://clir.wordpress.clir.org/?p=605
pub125,E-Powering the People: South Africa’s Smart Cape Access Project,1-932326-08-1,Susan Valentine,2004-03,2004-03,https://clir.wordpress.clir.org/?p=604
pub124,Business Planning for Cultural Heritage Institutions,1-932326-07-3,Liz Bishoff ,2004-01,2004-01,https://clir.wordpress.clir.org/pubs/reports/pub124/
pub123,Reflecting on Leadership,1-932326-06-5,Karin Wittenborg,2003-12,2003-12,https://clir.wordpress.clir.org/?p=603
pub122,Libraries Designed for Learning,1-932326-05-7,Scott Bennett,2003-11,2003-11,https://clir.wordpress.clir.org/?p=602
pub121,Care and Handling of CDs and DVDs: A Guide for Librarians and Archivists,1-932326-04-9,Fred R. Byers,2003-10,2003-10,https://clir.wordpress.clir.org/?p=601
pub120,Use and Users of Electronic Library Resources: An Overview and Analysis of Recent Research Studies,"",Carol Tenopir,2003-08,2003-08,https://clir.wordpress.clir.org/?p=600
pub119,Emerging Visions for Access in the Twenty-first Century Library CONFERENCE PROCEEDINGS,1-932326-03-0,,2003-08,2003-08,https://clir.wordpress.clir.org/?p=599
pub118,A Survey of Digital Cultural Heritage Initiatives and Their Sustainability Concerns,1-932326-02-2,Diane M. Zorich,2003-06,2003-06,https://clir.wordpress.clir.org/?p=598
pub117,Developing Print Repositories: Models for Shared Preservation and Access,1-932326-01-4,Bernard F. Reilly,,,https://clir.wordpress.clir.org/?p=597
pub116,"National Digital Preservation Initiatives: An Overview of Developments in Australia, France, the Netherlands, and the United Kingdom and of Related International Activity",1-932326-00-6,Neil Beagrie,2003-04,2003-04,https://clir.wordpress.clir.org/?p=596
pub115,Library Buildings and the Building of a Collaborative Research Collection at the Tri-College Library Consortium,"",Judy Luther,2003-04,2003-04,https://clir.wordpress.clir.org/?p=595
pub114,New-Model Scholarship: How Will It Survive?,1-887334-99-8,Abby Smith,2003-03,2003-03,https://clir.wordpress.clir.org/?p=594
pub113,"Biblored, Colombia’s Innovative Library Network",1-887334-98-X,María Cristina Caballero,2003-02,2003-02,https://clir.wordpress.clir.org/?p=593
pub112,Copyright Issues Relevant to the Creation of a Digital Archive: A Preliminary Assessment,1-887334-97-1,June M. Besek,2003-01,2003-01,https://clir.wordpress.clir.org/?p=592
pub111,The State of Preservation Programs in American College and Research Libraries: Building a Common Understanding and Action Agenda,1-887334-96-3,Anne R. Kenney ,2002-12,2002-12,https://clir.wordpress.clir.org/?p=591
pub110,Dimensions and Use of the Scholarly Information Environment: Introduction to a Data Set,1-887334-94-7,Amy Friedl,2002-11,2002-11,https://clir.wordpress.clir.org/?p=590
pub109,The Digital Library: A Biography,1-887334-95-5,Daniel Greenstein ,2002-12,2002-12,https://clir.wordpress.clir.org/?p=588
pub108,Diffuse Libraries: Emergent Roles for the Research Library in the Digital Age,1-887334-93-9,Wendy Pradt Lougee,2002-08,2002-08,https://clir.wordpress.clir.org/?p=587
pub107,The State of Digital Preservation: An International Perspective. CONFERENCE PROCEEDINGS,1-887334-92-0,,2002-07,2002-07,https://clir.wordpress.clir.org/?p=586
pub106,Building a National Strategy for Preservation: Issues in Digital Media Archiving,1-887334-91-2,,2002-04,2002-04,https://clir.wordpress.clir.org/?p=585
,"Summary report of a meeting held on February 4-5, 2002 to consider requirements for am archivists’ toolkit","",Brad Westbrook,,,http://old.diglib.org/collections/eadmtg1rep.htm
,Draft benchmark functions of digital masters,"",,,,http://old.diglib.org/standards/draftbmfunctions.htm
,Assessing Shibboleth as a means of authenticating and authorizing access to electronic scholarly publications. A DLF/CNI workshop,"",Peter Brantley (NYU),,,https://old.diglib.org/architectures/shibassess.htm
pub105,Usage and Usability Assessment: Library Practices and Concerns,1-887334-89-0,Denise Troll Covey,2002-01,2002-01,https://clir.wordpress.clir.org/?p=584
,Benchmark for digital reproductions of monographs and serials. As endorsed by the DLF,"",,2002-01,2002-01,http://www.diglib.org/standards/bmarkfin.htm
,"Evaluation of the Digital Library Federation, 1995-2001. Summary report","",,2002-01,2002-01,https://old.diglib.org/about/evalrep.htm
pub104,Scholarly Work in the Humanities and the Evolving Information Environment,1-887334-90-4,William S. Brockman,2001-12,2001-12,https://clir.wordpress.clir.org/?p=583
,Registry of Archival Masters of Digital Monographs and Serials. Functional Requirements,"",,,,http://old.diglib.org/collections/reg/regdigfunc.htm
,Registry of Digital Reproductions of Paper-Based Monographs and Serials. Functional Requirements,"",,,,http://old.diglib.org/collections/reg/regdigfunc.htm
,Registry of Archival Masters of Digital Monographs and Serials,"",,2001-12,2001-12,http://old.diglib.org/collections/reg/regdigfunc.htm
,Report on a meeting convened to evaluate possible implementation paths for a registry of digital monographs and serials,"",,2001-12,2001-12,https://old.diglib.org/collections/reg/regdlfoclcnote.htm
pub103,The Evidence in Hand: Report of the Task Force on the Artifact in Library Collections,1-887334-88-2,,2001-11,2001-11,https://clir.wordpress.clir.org/?p=582
pub102,Proceedings of the 2000 Sino-United States Symposium and Workshop on Library and Information Science Education in the Digital Age,1-887334-86-6,D. E. Perushek,,,https://clir.wordpress.clir.org/?p=581
pub101,Strategies for Building Digitized Collections,1-887334-87-4,Abby Smith,2001-09,2001-09,https://clir.wordpress.clir.org/?p=580
pub100, Building and Sustaining Digital Collections: Models for Libraries and Museums,1-887334-85-8,,2001-08,2001-08,https://clir.wordpress.clir.org/?p=579
pub99,Selection and Presentation of Commercially Available Electronic Resources: Issues and Practices,1-887334-84-X,Timothy D. Jewell,2001-07,2001-07,https://clir.wordpress.clir.org/?p=684
,Draft benchmark for digital reproductions of printed books and serial publications,"",Daniel Greenstein,2001-07,2001-07,http://old.diglib.org/standards/draftbmark.htm
,Registry of Digital Reproductions of Paper-based Books and Serials,"",Dale Flecker ,2001-07,2001-07,http://old.diglib.org/collections/reg/reg.htm
,Registry of Digital Reproductions of Paper-based Books and Serials.Functional requirements,"",Dale Flecker,2001-07,2001-07,http://old.diglib.org/collections/reg/regfunc.htm
,Report of a meeting of the DLF on preservation reformatting practices,"",Daniel Greenstein,2001-07,2001-07,http://old.diglib.org/standards/presreformatsum.htm
,More Access at Less Cost: The Case for a Digital Registry,"",Gerald George,2001-07,2001-07,http://old.diglib.org/collections/reg/regcase.htm
,Dimension and Use of the Scholarly Information Environment,"",Lynn Dagar,2001-07,2001-07,http://old.diglib.org/use/grantpub.pdf
pub98,Building Sustainable Collections of Free Third-Party Web Resources,1-887334-83-1,Louis A. Pitschmann,2001-06,2001-06,https://clir.wordpress.clir.org/?p=683
pub97,A Collaborative Approach to Collection Storage: The Five-College Library Depository,1-887334-81-5,Willis E. Bridegam,2001-06,2001-06,https://clir.wordpress.clir.org/?p=682
pub96,Folk Heritage Collections in Crisis,1-887334-82-3,,2001-05,2001-05,https://clir.wordpress.clir.org/?p=681
,Report Imaging Practitioners Meeting on 30 March 2001,"",Stephen Chapman,2001-03,2001-03,http://old.diglib.org/standards/imqualrep.htm
,Registry of Digital Reproductions of Paper-based Books and Serials,"",Daniel Greenstein,2001-04,2001-04,http://old.diglib.org/collections/reg/regfunc.htm
,Shared Cataloguing Tool for Visual Resources,"",Max MarmorSherman Clarke,2001-04,2001-04,http://old.diglib.org/collections/vrtool/vrtgetty.htm
,Tools for Academic Electronic Publishing,"",Maria Bonn,2001-03,2001-03,http://old.diglib.org/architectures/pubtools.htm
,Website of The Andrew W. Mellon Foundation’s e-journal archiving program,"",,2001-02,2001-02,http://old.diglib.org/preserve/ejp.htm
,The Open Archives Initiative and Digital Libraries,"",Daniel Greenstein,2001-01,2001-01,http://old.diglib.org/architectures/mdharvest.htm
,DLF Evaluation of the Open Archives Initiative,"",Daniel Greenstein,2001-01,2001-01,http://old.diglib.org/architectures/testbed.htm
,How and Why Libraries are Changing,"",Denise Troll,2001-01,2001-01,http://old.diglib.org/use/whitepaper.htm
,"Digital Library Policies, Organizations, and Practices","",Daniel Greenstein ,2001-01,2001-01,http://old.diglib.org/roles/survey1a.htm
pub95,Preservation Science Survey: An Overview of Recent Developments in Research on the Conservation of Selected Analog Library and Archival Materials,1-887334-80-7,Henk J. Porck ,2000-12,2000-12,https://clir.wordpress.clir.org/?p=680
,Towards a Shared Cataloguing Tool for VR Collections,"",Daniel Greenstein,2000-12,2000-12,http://old.diglib.org/collections/vrtool/toolframe.htm
,"Structural, technical, and administrative metadata standards","",Jerome McDonough,2000-12,2000-12,http://old.diglib.org/standards/stamdframe.htm
,The Academic Image Cooperative,"",Daniel Greenstein,,,http://old.diglib.org/collections/aic.htm
pub94,White Paper on Electronic Journal Usage Statistics,1-887334-79-3,Judy Luther,2000-10,2000-10,https://clir.wordpress.clir.org/?p=679
,Final Report of the AIC as submitted to the Andrew W. Mellon Foundation,"",Daniel Greenstein,2000-08,2000-08,http://old.diglib.org/collections/aic/pubfinrep.htm
,A New Approach to Finding Research Materials on the Web,"",Priscilla Caplan,2000-07,2000-07,http://old.diglib.org/architectures/vision.htm
pub93,Risk Management of Digital Information: A File Format Investigation,1-887334-78-5,Gregory W. Lawrence,2000-06,2000-06,https://clir.wordpress.clir.org/?p=678
pub92,Authenticity in a Digital Environment,1-887334-77-7,,2000-05,2000-05,https://clir.wordpress.clir.org/?p=677
,"Minimum criteria for an archival repository of digital scholarly journals, version 1.2","",Daniel Greenstein ,2000-05,2000-05,http://old.diglib.org/preserve/criteria.htm
,Strategies for developing sustainable and scaleable digital library collections,"",Daniel Greenstein,2000-05,2000-05,http://old.diglib.org/collections/collstrat.htm
pub91,Systems of Knowledge Organization for Digital Libraries: Beyond Traditional Authority Files,1-887334-76-9,Gail Hodge,2000-04,2000-04,https://clir.wordpress.clir.org/?p=676
,The AIC Draft Collection Strategy and Development Framework,"",Daniel Greenstein,2000-04,2000-04,http://old.diglib.org/collections/aic/aicrev.htm
,"Usage, Usability, and User support","",Daniel Greenstein,2000-04,2000-04,http://old.diglib.org/use/useframe.htm
pub90,Managing Cultural Assets from a Business Perspective,1-887334-75-0,Laura Price ,2000-03,2000-03,https://clir.wordpress.clir.org/?p=675
,A Digital Library Authentication and Authorization Architecture,"",,2000-03,2000-03,http://old.diglib.org/architectures/dcoverview.htm
,Digital Library Authentication and Authorization,"",,2000-03,2000-03,http://old.diglib.org/architectures/dcoverview.htm
,Report of the Making of America II DTD DLF Workshop,"",Jerome McDonough,2000-03,2000-03,http://old.diglib.org/standards/metssum.pdf
pub89,"Enduring Paradigm, New Opportunities: The Value of the Archival Perspective in the Digital Environment",1-887334-74-2,Anne J. Gillil,2000-02,2000-02,https://clir.wordpress.clir.org/?p=673
pub88,"Collections, Content, and the Web",1-887334-73-4,,2000-02,2000-02,https://clir.wordpress.clir.org/?p=672
,AIC Brochure,"",Rebecca Graham,2000-01,2000-01,http://old.diglib.org/collections/aic/aic.pdf
pub87,The Making of America II Testbed Project: A Digital Library Service Model,1-887334-72-6,Bernard J. Hurley,1999-12,1999-12,https://clir.wordpress.clir.org/?p=671
,Digital Certificate Infrastructure,"",,,,http://old.diglib.org/architectures/cren-dlf.pdf
pub86,Building Preservation Knowledge in Brazil,1-887334-71-8,Ingrid Beck,1999-11,1999-11,https://clir.wordpress.clir.org/?p=670
pub85,Innovative Use of Information Technology by Colleges,1-887334-70-X,,1999-08,1999-08,https://clir.wordpress.clir.org/?p=669
pub84,Securing Our Dance Heritage: Issues in the Documentation and Preservation of Dance,1-887334-69-6,Catherine J. Johnson ,1999-07,1999-07,https://clir.wordpress.clir.org/?p=668
,Supporting Access to Diverse and Distributed Finding Aids,"",John Price Wilkineport,1999-07,1999-07,http://old.diglib.org/architectures/dfas.htm
pub83,Preserving the Whole: A Two-Track Approach to Rescuing Social Science Data and Metadata,1-887334-68-8,Ann Green,1999-06,1999-06,https://clir.wordpress.clir.org/?p=667
,Academic Image Cooperative,"",,1999-06,1999-06,http://old.diglib.org/collections/aic/artxdescription.htm
,TEI Text Encoding in Libraries,"",,,,http://old.diglib.org/standards/tei.htm
pub82,The Future of the Past: Preservation in American Research Libraries,1-887334-67-X,Abby Smith,1999-04,1999-04,https://clir.wordpress.clir.org/?p=666
pub81,Digitization for Scholarly Use: The Boswell Papers Project at The Beinecke Rare Book and Manuscript Library,1-887334-66-1,Nicole Bouché,1999-03,1999-03,https://clir.wordpress.clir.org/?p=665
pub80,Why Digitize?,"",Abby Smith,1999-02,1999-02,https://clir.wordpress.clir.org/?p=1528
,Digital Library Federation Workshop on Social Science Data Archives,"",,,,http://old.diglib.org/collections/ssda/ssdaresults.htm
pub79,Enabling Access in Digital Libraries: A Report on a Workshop on Access Management,1-887334-64-5,Caroline Arms,1999-02,1999-02,https://clir.wordpress.clir.org/?p=662
pub78,"Scholarship, Instruction, and Libraries at the Turn of the Century",1-887334-62-9,,1999-01,1999-01,https://clir.wordpress.clir.org/?p=661
pub77,Avoiding Technological Quicksand: Finding a Viable Technical Foundation for Digital Preservation,1-887334-63-7,Jeff Rothenberg,1999-01,1999-01,https://clir.wordpress.clir.org/?p=660
pub76,Computerization of the Archivo General de Indias: Strategies and Results,1-887334-61-0,Pedro González,1998-09,1998-09,https://clir.wordpress.clir.org/?p=659
,Developing a Standard for Recording Contextual Information for Archival and Manuscript Materials,"",,1998-12,1998-12,http://old.diglib.org/standards/aayalefr.htm
pub75,The Mirage of Continuity: Reconfiguring Academic Information Resources for the 21st Century,"",Brian L. Hawkins ,1998-09,1998-09,https://clir.wordpress.clir.org/?p=658
pub74,Selecting Research Collections for Digitization,"",Dan Hazen,1998-08,1998-08,https://clir.wordpress.clir.org/?p=1479
pub73,"Public Libraries, Communities, and Technology: Twelve Case Studies","",,1996-11,1996-11,https://clir.wordpress.clir.org/?p=656
pub72,Library Systems: Current Developments and Future Directions,1-887334-58-0,Leigh Watson Healy,1998-05,1998-05,https://clir.wordpress.clir.org/?p=655
pub71,Digitizing Historical Pictorial Collections for the Internet,"",Stephen Ostrow,1998-02,1998-02,https://clir.wordpress.clir.org/?p=1477
pub70,Preservation and Archives in Vietnam,"",Judith Henchy,1998-02,1998-02,https://clir.wordpress.clir.org/?p=1475
pub69,Digitization as a Method of Preservation?,1-887334-53-6,Hartmut Weber ,1997-10,1997-10,https://clir.wordpress.clir.org/?p=651
pub68,SGML as a Framework for Digital Preservation and Access,1-887334-54-8,James Coleman ,1997-07,1997-07,https://clir.wordpress.clir.org/?p=650
pub67,Digital Image Collections,1-887334-53-X,Michael Ester,1996-12,1996-12,https://clir.wordpress.clir.org/?p=649
pub65,Mass Deacidification,1-887334-52-1,Henk Porck,1996-10,1996-10,https://clir.wordpress.clir.org/?p=648
pub64,Preservation Challenges in a Changing Political Climate. A Report from Russia,1-887334-51-3,Galina Kislovskaya,1996-09,1996-09,https://clir.wordpress.clir.org/?p=647
pub63,"Preserving Digital Information, Report of the Task Force on Archiving of Digital Information","",Donald Waters ,1996-05,1996-05,https://clir.wordpress.clir.org/?p=646
pub62,Preservation in the Digital World,1-887334-49-1,Paul Conway,1996-03,1996-03,https://clir.wordpress.clir.org/?p=645
pub61,Digital Collections Inventory Report,1-887334-48-3,Patricia A. McClung,1996-02,1996-02,https://clir.wordpress.clir.org/?p=644
pub60,Preservation Activities in Canada,1-887334-47-5,Karen Turko,1996-02,1996-02,https://clir.wordpress.clir.org/?p=643
pub59,New Tools for Preservation,1-887334-46-7,James M. Reilly,1995-11,1995-11,https://clir.wordpress.clir.org/?p=641
pub58,Difficult Choices,1-887334-43-2,,1995-08,1995-08,https://clir.wordpress.clir.org/?p=640
pub57,Digital Imaging of Papyri,1-887334-44-0,Roger S. Bagnall,1995-09,1995-09,https://clir.wordpress.clir.org/?p=639
pub56,"Oversize Color Images Project, 1994-1995",1-887334-42-4,Janet Gertz,1995-08,1995-08,https://clir.wordpress.clir.org/?p=638
pub55,Preservation Priorities in Latin America,1-887334-41-6,Dan C.Hazen,1995-07,1995-07,https://clir.wordpress.clir.org/?p=637
pub54,Magnetic Tape Storage and Handling,"",John Van Bogart,1995-06,1995-06,https://clir.wordpress.clir.org/?p=763
pub53,Digital Resolution Requirements for Replacing Text-Based Material: Methods for Benchmarking Image Quality,1-887334-38-6,Anne R. Kenney ,1995-04,1995-04,https://clir.wordpress.clir.org/?p=636
pub52,The European Register of Microform Masters-Supporting International Cooperation,1-887334-37-8,,1995-05,1995-05,https://clir.wordpress.clir.org/?p=635
pub51,Preservation Activities in Bulgaria,1-887334-36-X,Sonja Jordan,1995-02,1995-02,https://clir.wordpress.clir.org/?p=634
pub50,The International Program and Its Global Mission. Introduction to Report Series,1-887334-35-1,,1995-01,1995-01,https://clir.wordpress.clir.org/?p=633
pub48,The Commission on Preservation and Access Working Paper on the Future,1-887334-30-0,,1994-02,1994-02,https://clir.wordpress.clir.org/?p=631
pub47,The Setup Phase of Project Open Book,1-887334-34-3,Paul Conway ,1994-06,1994-06,https://clir.wordpress.clir.org/?p=630
pub46,Isoperms – An Environmental Management Tool,1-887334-33-5,Donald Sebera,1994-06,1994-06,https://clir.wordpress.clir.org/?p=629
pub5,Image Formats for Preservation and Access. A Report of the Technology Assessment Advisory Committee,1-887334-39-4,Michael Lesk,1990-07,1990-07,https://clir.wordpress.clir.org/?p=9070
